mcts-expansion-minimax,mcts-expansion-gsp,2,21,27,6
mcts-expansion-minimax,mcts-expansion-gsp,1,25,23,2
mcts-expansion-minimax,mcts-expansion-gsp,1,29,19,10
mcts-expansion-minimax,mcts-expansion-gsp,1,33,15,18
mcts-expansion-minimax,mcts-expansion-gsp,2,20,28,8
mcts-expansion-minimax,mcts-expansion-gsp,2,16,32,16
mcts-expansion-minimax,mcts-expansion-gsp,2,18,30,12
mcts-expansion-minimax,mcts-expansion-gsp,1,32,16,16
mcts-expansion-minimax,mcts-expansion-gsp,1,32,16,16
mcts-expansion-minimax,mcts-expansion-gsp,2,21,27,6
mcts-expansion-minimax,mcts-expansion-gsp,2,23,25,2
mcts-expansion-minimax,mcts-expansion-gsp,2,23,25,2
mcts-expansion-minimax,mcts-expansion-gsp,2,17,31,14
mcts-expansion-minimax,mcts-expansion-gsp,2,20,28,8
mcts-expansion-minimax,mcts-expansion-gsp,2,13,35,22
mcts-expansion-minimax,mcts-expansion-gsp,1,27,21,6
mcts-expansion-minimax,mcts-expansion-gsp,1,28,20,8
mcts-expansion-minimax,mcts-expansion-gsp,0,24,24,0
mcts-expansion-minimax,mcts-expansion-gsp,1,29,19,10
mcts-expansion-minimax,mcts-expansion-gsp,2,18,30,12
mcts-expansion-minimax,mcts-expansion-gsp,2,23,25,2
mcts-expansion-minimax,mcts-expansion-gsp,2,13,35,22
mcts-expansion-minimax,mcts-expansion-gsp,2,21,27,6
mcts-expansion-minimax,mcts-expansion-gsp,2,23,25,2
mcts-expansion-minimax,mcts-expansion-gsp,1,28,20,8
mcts-expansion-minimax,mcts-expansion-gsp,2,15,33,18
mcts-expansion-minimax,mcts-expansion-gsp,2,22,26,4
mcts-expansion-minimax,mcts-expansion-gsp,1,27,21,6
mcts-expansion-minimax,mcts-expansion-gsp,1,26,22,4
mcts-expansion-minimax,mcts-expansion-gsp,2,21,27,6
mcts-expansion-minimax,mcts-expansion-gsp,2,22,26,4
mcts-expansion-minimax,mcts-expansion-gsp,2,23,25,2
mcts-expansion-minimax,mcts-expansion-gsp,2,15,33,18
mcts-expansion-minimax,mcts-expansion-gsp,2,16,32,16
mcts-expansion-minimax,mcts-expansion-gsp,1,33,15,18
mcts-expansion-minimax,mcts-expansion-gsp,2,22,26,4
mcts-expansion-minimax,mcts-expansion-gsp,2,11,37,26
mcts-expansion-minimax,mcts-expansion-gsp,1,27,21,6
mcts-expansion-minimax,mcts-expansion-apriori,1,31,17,14
mcts-expansion-minimax,mcts-expansion-apriori,1,39,9,30
mcts-expansion-minimax,mcts-expansion-apriori,1,25,23,2
mcts-expansion-minimax,mcts-expansion-apriori,2,14,34,20
mcts-expansion-minimax,mcts-expansion-apriori,2,23,25,2
mcts-expansion-minimax,mcts-expansion-apriori,0,24,24,0
mcts-expansion-minimax,mcts-expansion-apriori,1,30,18,12
mcts-expansion-minimax,mcts-expansion-apriori,1,28,20,8
mcts-expansion-minimax,mcts-expansion-apriori,1,25,23,2
mcts-expansion-minimax,mcts-expansion-apriori,0,24,24,0
mcts-expansion-minimax,mcts-expansion-apriori,1,30,18,12
mcts-expansion-minimax,mcts-expansion-apriori,2,23,25,2
mcts-expansion-minimax,mcts-expansion-apriori,2,15,33,18
mcts-expansion-minimax,mcts-expansion-apriori,1,29,19,10
mcts-expansion-minimax,mcts-expansion-apriori,2,12,36,24
mcts-expansion-minimax,mcts-expansion-apriori,1,26,22,4
mcts-expansion-minimax,mcts-expansion-apriori,2,13,35,22
mcts-expansion-minimax,mcts-expansion-apriori,2,7,41,34
mcts-expansion-minimax,mcts-expansion-apriori,1,25,23,2
mcts-expansion-minimax,mcts-expansion-apriori,2,13,35,22
mcts-expansion-minimax,mcts-expansion-apriori,2,19,29,10
mcts-expansion-minimax,mcts-expansion-apriori,2,22,26,4
mcts-expansion-minimax,mcts-expansion-apriori,1,37,11,26
mcts-expansion-minimax,mcts-expansion-apriori,2,18,30,12
mcts-expansion-minimax,mcts-expansion-apriori,1,26,22,4
mcts-expansion-minimax,mcts-expansion-apriori,0,24,24,0
mcts-expansion-minimax,mcts-expansion-apriori,2,20,28,8
mcts-expansion-minimax,mcts-expansion-apriori,1,30,18,12
mcts-expansion-minimax,mcts-expansion-apriori,1,26,22,4
mcts-expansion-minimax,mcts-expansion-apriori,2,21,27,6
mcts-expansion-minimax,mcts-expansion-apriori,2,15,33,18
mcts-expansion-minimax,mcts-expansion-apriori,2,13,35,22
mcts-expansion-minimax,mcts-expansion-apriori,1,29,19,10
mcts-expansion-minimax,mcts-expansion-apriori,1,36,12,24
mcts-expansion-minimax,mcts-expansion-apriori,2,22,26,4
mcts-expansion-minimax,mcts-expansion-apriori,0,24,24,0
mcts-expansion-minimax,mcts-expansion-apriori,2,15,33,18
mcts-expansion-minimax,mcts-expansion-apriori,1,33,15,18
mcts-expansion-minimax,mcts-expansion-apriori,2,14,34,20
mcts-expansion-minimax,mcts-expansion-apriori,2,20,28,8
mcts-expansion-minimax,mcts-expansion-apriori,2,21,27,6
mcts-expansion-minimax,mcts-expansion-apriori,2,21,27,6
mcts-expansion-minimax,mcts-expansion-apriori,0,24,24,0
mcts-expansion-minimax,mcts-expansion-apriori,2,20,28,8
mcts-expansion-minimax,mcts-expansion-apriori,2,19,29,10
mcts-expansion-minimax,mcts-expansion-apriori,2,14,34,20
mcts-expansion-minimax,mcts-expansion-apriori,2,17,31,14
mcts-expansion-minimax,mcts-expansion-apriori,2,22,26,4
mcts-expansion-minimax,mcts-expansion-apriori,0,24,24,0
mcts-expansion-minimax,mcts-expansion-apriori,2,12,36,24
mcts,mcts-expansion-gsp,1,33,15,18
mcts,mcts-expansion-gsp,1,30,18,12
mcts,mcts-expansion-gsp,1,27,21,6
mcts,mcts-expansion-gsp,2,14,34,20
mcts,mcts-expansion-gsp,2,19,29,10
mcts,mcts-expansion-gsp,2,20,28,8
mcts,mcts-expansion-gsp,0,24,24,0
mcts,mcts-expansion-gsp,1,28,20,8
mcts,mcts-expansion-gsp,1,28,20,8
mcts,mcts-expansion-gsp,2,16,32,16
mcts,mcts-expansion-gsp,2,23,25,2
mcts,mcts-expansion-gsp,1,25,23,2
mcts,mcts-expansion-gsp,1,32,16,16
mcts,mcts-expansion-gsp,2,16,32,16
mcts,mcts-expansion-gsp,1,29,19,10
mcts,mcts-expansion-gsp,2,14,34,20
mcts,mcts-expansion-gsp,1,30,18,12
mcts,mcts-expansion-gsp,1,33,15,18
mcts,mcts-expansion-gsp,2,21,27,6
mcts,mcts-expansion-gsp,1,31,17,14
mcts,mcts-expansion-gsp,0,24,24,0
mcts,mcts-expansion-gsp,2,22,26,4
mcts,mcts-expansion-gsp,1,26,22,4
mcts,mcts-expansion-gsp,2,23,25,2
mcts,mcts-expansion-gsp,2,21,27,6
mcts,mcts-expansion-gsp,1,37,11,26
mcts,mcts-expansion-gsp,1,31,17,14
mcts,mcts-expansion-gsp,2,10,38,28
mcts,mcts-expansion-gsp,1,37,11,26
mcts,mcts-expansion-gsp,1,26,22,4
mcts,mcts-expansion-gsp,2,22,26,4
mcts,mcts-expansion-gsp,2,17,31,14
mcts,mcts-expansion-gsp,2,21,27,6
mcts,mcts-expansion-gsp,1,28,20,8
mcts,mcts-expansion-gsp,2,16,32,16
mcts,mcts-expansion-gsp,1,27,21,6
mcts,mcts-expansion-gsp,1,26,22,4
mcts,mcts-expansion-gsp,2,21,27,6
mcts,mcts-expansion-gsp,1,27,21,6
mcts,mcts-expansion-gsp,1,33,15,18
mcts,mcts-expansion-gsp,1,32,16,16
mcts,mcts-expansion-gsp,1,27,21,6
mcts,mcts-expansion-gsp,2,15,33,18
mcts,mcts-expansion-gsp,2,18,30,12
mcts,mcts-expansion-gsp,0,24,24,0
mcts,mcts-expansion-gsp,1,28,20,8
mcts,mcts-expansion-gsp,1,26,22,4
mcts,mcts-expansion-gsp,1,35,13,22
mcts,mcts-expansion-gsp,1,30,18,12
mcts,mcts-expansion-gsp,2,20,28,8
mcts,mcts-expansion-apriori,1,28,20,8
mcts,mcts-expansion-apriori,1,27,21,6
mcts,mcts-expansion-apriori,1,28,20,8
mcts,mcts-expansion-apriori,0,24,24,0
mcts,mcts-expansion-apriori,2,12,36,24
mcts,mcts-expansion-apriori,2,20,28,8
mcts,mcts-expansion-apriori,1,32,16,16
mcts,mcts-expansion-apriori,1,36,12,24
mcts,mcts-expansion-apriori,2,15,33,18
mcts,mcts-expansion-apriori,0,24,24,0
mcts,mcts-expansion-apriori,1,27,21,6
mcts,mcts-expansion-apriori,2,22,26,4
mcts,mcts-expansion-apriori,2,21,27,6
mcts,mcts-expansion-apriori,2,19,29,10
mcts,mcts-expansion-apriori,2,14,34,20
mcts,mcts-expansion-apriori,2,22,26,4
mcts,mcts-expansion-apriori,0,24,24,0
mcts,mcts-expansion-apriori,2,19,29,10
mcts,mcts-expansion-apriori,2,12,36,24
mcts,mcts-expansion-apriori,1,28,20,8
mcts,mcts-expansion-apriori,1,29,19,10
mcts,mcts-expansion-apriori,1,34,14,20
mcts,mcts-expansion-apriori,1,32,16,16
mcts,mcts-expansion-apriori,2,17,31,14
mcts,mcts-expansion-apriori,1,29,19,10
mcts,mcts-expansion-apriori,1,32,16,16
mcts,mcts-expansion-apriori,2,22,26,4
mcts,mcts-expansion-apriori,0,24,24,0
mcts,mcts-expansion-apriori,2,15,33,18
mcts,mcts-expansion-apriori,2,15,33,18
mcts,mcts-expansion-apriori,2,18,30,12
mcts,mcts-expansion-apriori,2,16,32,16
mcts,mcts-expansion-apriori,1,25,23,2
mcts,mcts-expansion-apriori,1,27,21,6
mcts,mcts-expansion-apriori,2,19,29,10
mcts,mcts-expansion-apriori,1,33,15,18
mcts,mcts-expansion-apriori,2,22,26,4
mcts,mcts-expansion-apriori,1,29,19,10
mcts,mcts-expansion-apriori,2,23,25,2
mcts,mcts-expansion-apriori,1,30,18,12
mcts,mcts-expansion-apriori,2,22,26,4
mcts,mcts-expansion-apriori,2,17,31,14
mcts,mcts-expansion-apriori,1,30,18,12
mcts,mcts-expansion-apriori,1,29,19,10
mcts,mcts-expansion-apriori,1,25,23,2
mcts,mcts-expansion-apriori,2,15,33,18
mcts,mcts-expansion-apriori,1,26,22,4
mcts,mcts-expansion-apriori,1,29,19,10
mcts,mcts-expansion-apriori,1,33,15,18
mcts,mcts-expansion-apriori,2,19,29,10
mcts,mcts-expansion-minimax,1,31,17,14
mcts,mcts-expansion-minimax,1,27,21,6
mcts,mcts-expansion-minimax,2,18,30,12
mcts,mcts-expansion-minimax,1,29,19,10
mcts,mcts-expansion-minimax,2,16,32,16
mcts,mcts-expansion-minimax,1,30,18,12
mcts,mcts-expansion-minimax,1,26,22,4
mcts,mcts-expansion-minimax,1,32,16,16
mcts,mcts-expansion-minimax,2,19,29,10
mcts,mcts-expansion-minimax,2,17,31,14
mcts,mcts-expansion-minimax,2,15,33,18
mcts,mcts-expansion-minimax,2,18,30,12
mcts,mcts-expansion-minimax,1,26,22,4
mcts,mcts-expansion-minimax,1,28,20,8
mcts,mcts-expansion-minimax,2,19,29,10
mcts,mcts-expansion-minimax,1,29,19,10
mcts,mcts-expansion-minimax,1,30,18,12
mcts,mcts-expansion-minimax,1,26,22,4
mcts,mcts-expansion-minimax,1,34,14,20
mcts,mcts-expansion-minimax,1,39,9,30
mcts,mcts-expansion-minimax,1,27,21,6
mcts,mcts-expansion-minimax,2,22,26,4
mcts,mcts-expansion-minimax,1,30,18,12
mcts,mcts-expansion-minimax,0,24,24,0
mcts,mcts-expansion-minimax,2,18,30,12
mcts,mcts-expansion-minimax,1,38,10,28
mcts,mcts-expansion-minimax,1,31,17,14
mcts,mcts-expansion-minimax,2,18,30,12
mcts,mcts-expansion-minimax,1,33,15,18
mcts,mcts-expansion-minimax,1,29,19,10
mcts,mcts-expansion-minimax,2,18,30,12
mcts,mcts-expansion-minimax,1,26,22,4
mcts,mcts-expansion-minimax,1,28,20,8
mcts,mcts-expansion-minimax,2,19,29,10
mcts,mcts-expansion-minimax,2,15,33,18
mcts,mcts-expansion-minimax,1,26,22,4
mcts,mcts-expansion-minimax,2,22,26,4
mcts,mcts-expansion-minimax,1,26,22,4
mcts,mcts-expansion-minimax,1,25,23,2
mcts,mcts-expansion-minimax,1,32,16,16
mcts,mcts-expansion-minimax,1,28,20,8
mcts,mcts-expansion-minimax,1,27,21,6
mcts,mcts-expansion-minimax,0,24,24,0
mcts,mcts-expansion-minimax,0,24,24,0
mcts,mcts-expansion-minimax,1,26,22,4
mcts,mcts-expansion-minimax,0,24,24,0
mcts,mcts-expansion-minimax,1,29,19,10
mcts,mcts-expansion-minimax,2,19,29,10
mcts,mcts-expansion-minimax,1,28,20,8
mcts,mcts-expansion-minimax,2,23,25,2
mcts-expansion-gsp,mcts,1,27,21,6
mcts-expansion-gsp,mcts,0,24,24,0
mcts-expansion-gsp,mcts,2,15,33,18
mcts-expansion-gsp,mcts,1,32,16,16
mcts-expansion-gsp,mcts,2,19,29,10
mcts-expansion-gsp,mcts,2,23,25,2
mcts-expansion-gsp,mcts,1,29,19,10
mcts-expansion-gsp,mcts,1,26,22,4
mcts-expansion-gsp,mcts,2,19,29,10
mcts-expansion-gsp,mcts,2,20,28,8
mcts-expansion-gsp,mcts,2,21,27,6
mcts-expansion-gsp,mcts,1,28,20,8
mcts-expansion-gsp,mcts,1,40,8,32
mcts-expansion-gsp,mcts,1,31,17,14
mcts-expansion-gsp,mcts,0,24,24,0
mcts-expansion-gsp,mcts,2,23,25,2
mcts-expansion-gsp,mcts,1,26,22,4
mcts-expansion-gsp,mcts,2,19,29,10
mcts-expansion-gsp,mcts,2,22,26,4
mcts-expansion-gsp,mcts,1,31,17,14
mcts-expansion-gsp,mcts,1,31,17,14
mcts-expansion-gsp,mcts,1,28,20,8
mcts-expansion-gsp,mcts,1,27,21,6
mcts-expansion-gsp,mcts,1,31,17,14
mcts-expansion-gsp,mcts,1,33,15,18
mcts-expansion-gsp,mcts,2,23,25,2
mcts-expansion-gsp,mcts,1,31,17,14
mcts-expansion-gsp,mcts,1,30,18,12
mcts-expansion-gsp,mcts,2,20,28,8
mcts-expansion-gsp,mcts,1,35,13,22
mcts-expansion-gsp,mcts,1,26,22,4
mcts-expansion-gsp,mcts,1,28,20,8
mcts-expansion-gsp,mcts,2,23,25,2
mcts-expansion-gsp,mcts,1,28,20,8
mcts-expansion-gsp,mcts,2,10,38,28
mcts-expansion-gsp,mcts,2,22,26,4
mcts-expansion-gsp,mcts,2,20,28,8
mcts-expansion-gsp,mcts,1,28,20,8
mcts-expansion-gsp,mcts,1,36,12,24
mcts-expansion-gsp,mcts,1,25,23,2
mcts-expansion-gsp,mcts,1,25,23,2
mcts-expansion-gsp,mcts,1,34,14,20
mcts-expansion-gsp,mcts,2,16,32,16
mcts-expansion-gsp,mcts,0,24,24,0
mcts-expansion-gsp,mcts,1,27,21,6
mcts-expansion-gsp,mcts,2,20,28,8
mcts-expansion-gsp,mcts,1,28,20,8
mcts-expansion-gsp,mcts,1,36,12,24
mcts-expansion-gsp,mcts,2,20,28,8
mcts-expansion-gsp,mcts,1,29,19,10
mcts-expansion-gsp,mcts-expansion-apriori,1,28,20,8
mcts-expansion-gsp,mcts-expansion-apriori,1,31,17,14
mcts-expansion-gsp,mcts-expansion-apriori,1,25,23,2
mcts-expansion-gsp,mcts-expansion-apriori,2,19,29,10
mcts-expansion-gsp,mcts-expansion-apriori,2,23,25,2
mcts-expansion-gsp,mcts-expansion-apriori,2,23,25,2
mcts-expansion-gsp,mcts-expansion-apriori,1,33,15,18
mcts-expansion-gsp,mcts-expansion-apriori,1,25,23,2
mcts-expansion-gsp,mcts-expansion-apriori,2,20,28,8
mcts-expansion-gsp,mcts-expansion-apriori,1,28,20,8
mcts-expansion-gsp,mcts-expansion-apriori,2,20,28,8
mcts-expansion-gsp,mcts-expansion-apriori,1,34,14,20
mcts-expansion-gsp,mcts-expansion-apriori,2,21,27,6
mcts-expansion-gsp,mcts-expansion-apriori,1,32,16,16
mcts-expansion-gsp,mcts-expansion-apriori,2,19,29,10
mcts-expansion-gsp,mcts-expansion-apriori,1,25,23,2
mcts-expansion-gsp,mcts-expansion-apriori,1,27,21,6
mcts-expansion-gsp,mcts-expansion-apriori,1,34,14,20
mcts-expansion-gsp,mcts-expansion-apriori,1,34,14,20
mcts-expansion-gsp,mcts-expansion-apriori,2,23,25,2
mcts-expansion-gsp,mcts-expansion-apriori,2,22,26,4
mcts-expansion-gsp,mcts-expansion-apriori,2,18,30,12
mcts-expansion-gsp,mcts-expansion-apriori,1,31,17,14
mcts-expansion-gsp,mcts-expansion-apriori,2,15,33,18
mcts-expansion-gsp,mcts-expansion-apriori,2,19,29,10
mcts-expansion-gsp,mcts-expansion-apriori,2,16,32,16
mcts-expansion-gsp,mcts-expansion-apriori,1,26,22,4
mcts-expansion-gsp,mcts-expansion-apriori,1,39,9,30
mcts-expansion-gsp,mcts-expansion-apriori,1,25,23,2
mcts-expansion-gsp,mcts-expansion-apriori,2,21,27,6
mcts-expansion-gsp,mcts-expansion-apriori,1,26,22,4
mcts-expansion-gsp,mcts-expansion-apriori,1,28,20,8
mcts-expansion-gsp,mcts-expansion-apriori,2,12,36,24
mcts-expansion-gsp,mcts-expansion-apriori,1,34,14,20
mcts-expansion-gsp,mcts-expansion-apriori,2,17,31,14
mcts-expansion-gsp,mcts-expansion-apriori,1,42,6,36
mcts-expansion-gsp,mcts-expansion-apriori,1,29,19,10
mcts-expansion-gsp,mcts-expansion-apriori,2,22,26,4
mcts-expansion-gsp,mcts-expansion-apriori,1,28,20,8
mcts-expansion-gsp,mcts-expansion-apriori,1,26,22,4
mcts-expansion-gsp,mcts-expansion-apriori,1,33,15,18
mcts-expansion-gsp,mcts-expansion-apriori,2,15,33,18
mcts-expansion-gsp,mcts-expansion-apriori,1,33,15,18
mcts-expansion-gsp,mcts-expansion-apriori,2,9,39,30
mcts-expansion-gsp,mcts-expansion-apriori,2,17,31,14
mcts-expansion-gsp,mcts-expansion-apriori,1,27,21,6
mcts-expansion-gsp,mcts-expansion-apriori,1,33,15,18
mcts-expansion-gsp,mcts-expansion-apriori,2,22,26,4
mcts-expansion-gsp,mcts-expansion-apriori,2,21,27,6
mcts-expansion-gsp,mcts-expansion-apriori,1,30,18,12
mcts-expansion-gsp,mcts-expansion-minimax,1,31,17,14
mcts-expansion-gsp,mcts-expansion-minimax,1,27,21,6
mcts-expansion-gsp,mcts-expansion-minimax,1,28,20,8
mcts-expansion-gsp,mcts-expansion-minimax,1,26,22,4
mcts-expansion-gsp,mcts-expansion-minimax,1,29,19,10
mcts-expansion-gsp,mcts-expansion-minimax,2,18,30,12
mcts-expansion-gsp,mcts-expansion-minimax,2,18,30,12
mcts-expansion-gsp,mcts-expansion-minimax,2,22,26,4
mcts-expansion-gsp,mcts-expansion-minimax,1,27,21,6
mcts-expansion-gsp,mcts-expansion-minimax,1,30,18,12
mcts-expansion-gsp,mcts-expansion-minimax,1,27,21,6
mcts-expansion-gsp,mcts-expansion-minimax,2,15,33,18
mcts-expansion-gsp,mcts-expansion-minimax,1,27,21,6
mcts-expansion-gsp,mcts-expansion-minimax,2,23,25,2
mcts-expansion-gsp,mcts-expansion-minimax,1,25,23,2
mcts-expansion-gsp,mcts-expansion-minimax,1,31,17,14
mcts-expansion-gsp,mcts-expansion-minimax,1,25,23,2
mcts-expansion-gsp,mcts-expansion-minimax,1,32,16,16
mcts-expansion-gsp,mcts-expansion-minimax,1,37,11,26
mcts-expansion-gsp,mcts-expansion-minimax,1,37,11,26
mcts-expansion-gsp,mcts-expansion-minimax,2,18,30,12
mcts-expansion-gsp,mcts-expansion-minimax,1,29,19,10
mcts-expansion-gsp,mcts-expansion-minimax,1,29,19,10
mcts-expansion-gsp,mcts-expansion-minimax,2,20,28,8
mcts-expansion-gsp,mcts-expansion-minimax,1,29,19,10
mcts-expansion-gsp,mcts-expansion-minimax,1,36,12,24
mcts-expansion-gsp,mcts-expansion-minimax,1,27,21,6
mcts-expansion-gsp,mcts-expansion-minimax,1,31,17,14
mcts-expansion-gsp,mcts-expansion-minimax,1,34,14,20
mcts-expansion-gsp,mcts-expansion-minimax,1,28,20,8
mcts-expansion-gsp,mcts-expansion-minimax,1,37,11,26
mcts-expansion-gsp,mcts-expansion-minimax,1,27,21,6
mcts-expansion-gsp,mcts-expansion-minimax,1,27,21,6
mcts-expansion-gsp,mcts-expansion-minimax,1,25,23,2
mcts-expansion-gsp,mcts-expansion-minimax,1,35,13,22
mcts-expansion-gsp,mcts-expansion-minimax,1,32,16,16
mcts-expansion-gsp,mcts-expansion-minimax,2,16,32,16
mcts-expansion-gsp,mcts-expansion-minimax,2,14,34,20
mcts-expansion-gsp,mcts-expansion-minimax,2,14,34,20
mcts-expansion-gsp,mcts-expansion-minimax,1,32,16,16
mcts-expansion-gsp,mcts-expansion-minimax,2,21,27,6
mcts-expansion-gsp,mcts-expansion-minimax,1,25,23,2
mcts-expansion-gsp,mcts-expansion-minimax,1,28,20,8
mcts-expansion-gsp,mcts-expansion-minimax,2,23,25,2
mcts-expansion-gsp,mcts-expansion-minimax,2,21,27,6
mcts-expansion-gsp,mcts-expansion-minimax,1,29,19,10
mcts-expansion-gsp,mcts-expansion-minimax,1,30,18,12
mcts-expansion-gsp,mcts-expansion-minimax,0,24,24,0
mcts-expansion-gsp,mcts-expansion-minimax,1,26,22,4
mcts-expansion-gsp,mcts-expansion-minimax,1,26,22,4
mcts-expansion-apriori,mcts,1,36,12,24
mcts-expansion-apriori,mcts,1,35,13,22
mcts-expansion-apriori,mcts,1,27,21,6
mcts-expansion-apriori,mcts,1,30,18,12
mcts-expansion-apriori,mcts,0,24,24,0
mcts-expansion-apriori,mcts,2,19,29,10
mcts-expansion-apriori,mcts,1,28,20,8
mcts-expansion-apriori,mcts,1,29,19,10
mcts-expansion-apriori,mcts,2,21,27,6
mcts-expansion-apriori,mcts,1,27,21,6
mcts-expansion-apriori,mcts,1,33,15,18
mcts-expansion-apriori,mcts,1,32,16,16
mcts-expansion-apriori,mcts,2,23,25,2
mcts-expansion-apriori,mcts,1,32,16,16
mcts-expansion-apriori,mcts,2,21,27,6
mcts-expansion-apriori,mcts,1,30,18,12
mcts-expansion-apriori,mcts,2,21,27,6
mcts-expansion-apriori,mcts,2,22,26,4
mcts-expansion-apriori,mcts,2,16,32,16
mcts-expansion-apriori,mcts,1,28,20,8
mcts-expansion-apriori,mcts,1,33,15,18
mcts-expansion-apriori,mcts,1,30,18,12
mcts-expansion-apriori,mcts,2,22,26,4
mcts-expansion-apriori,mcts,0,24,24,0
mcts-expansion-apriori,mcts,2,20,28,8
mcts-expansion-apriori,mcts,2,17,31,14
mcts-expansion-apriori,mcts,1,36,12,24
mcts-expansion-apriori,mcts,2,23,25,2
mcts-expansion-apriori,mcts,2,15,33,18
mcts-expansion-apriori,mcts,1,25,23,2
mcts-expansion-apriori,mcts,1,26,22,4
mcts-expansion-apriori,mcts,1,29,19,10
mcts-expansion-apriori,mcts,2,21,27,6
mcts-expansion-apriori,mcts,2,16,32,16
mcts-expansion-apriori,mcts,2,21,27,6
mcts-expansion-apriori,mcts,2,23,25,2
mcts-expansion-apriori,mcts,2,11,37,26
mcts-expansion-apriori,mcts,2,16,32,16
mcts-expansion-apriori,mcts,2,12,36,24
mcts-expansion-apriori,mcts,1,25,23,2
mcts-expansion-apriori,mcts,1,38,10,28
mcts-expansion-apriori,mcts,1,27,21,6
mcts-expansion-apriori,mcts,2,16,32,16
mcts-expansion-apriori,mcts,2,12,36,24
mcts-expansion-apriori,mcts,2,16,32,16
mcts-expansion-apriori,mcts,1,27,21,6
mcts-expansion-apriori,mcts,1,26,22,4
mcts-expansion-apriori,mcts,1,31,17,14
mcts-expansion-apriori,mcts,1,25,23,2
mcts-expansion-apriori,mcts,1,30,18,12
mcts-expansion-apriori,mcts-expansion-gsp,1,28,20,8
mcts-expansion-apriori,mcts-expansion-gsp,1,25,23,2
mcts-expansion-apriori,mcts-expansion-gsp,1,36,12,24
mcts-expansion-apriori,mcts-expansion-gsp,0,24,24,0
mcts-expansion-apriori,mcts-expansion-gsp,2,18,30,12
mcts-expansion-apriori,mcts-expansion-gsp,2,13,35,22
mcts-expansion-apriori,mcts-expansion-gsp,0,24,24,0
mcts-expansion-apriori,mcts-expansion-gsp,1,26,22,4
mcts-expansion-apriori,mcts-expansion-gsp,1,27,21,6
mcts-expansion-apriori,mcts-expansion-gsp,1,30,18,12
mcts-expansion-apriori,mcts-expansion-gsp,2,14,34,20
mcts-expansion-apriori,mcts-expansion-gsp,2,20,28,8
mcts-expansion-apriori,mcts-expansion-gsp,1,34,14,20
mcts-expansion-apriori,mcts-expansion-gsp,2,19,29,10
mcts-expansion-apriori,mcts-expansion-gsp,1,34,14,20
mcts-expansion-apriori,mcts-expansion-gsp,1,27,21,6
mcts-expansion-apriori,mcts-expansion-gsp,2,23,25,2
mcts-expansion-apriori,mcts-expansion-gsp,1,34,14,20
mcts-expansion-apriori,mcts-expansion-gsp,0,24,24,0
mcts-expansion-apriori,mcts-expansion-gsp,2,16,32,16
mcts-expansion-apriori,mcts-expansion-gsp,2,13,35,22
mcts-expansion-apriori,mcts-expansion-gsp,1,26,22,4
mcts-expansion-apriori,mcts-expansion-gsp,1,31,17,14
mcts-expansion-apriori,mcts-expansion-gsp,1,29,19,10
mcts-expansion-apriori,mcts-expansion-gsp,2,22,26,4
mcts-expansion-apriori,mcts-expansion-gsp,1,26,22,4
mcts-expansion-apriori,mcts-expansion-gsp,2,21,27,6
mcts-expansion-apriori,mcts-expansion-gsp,1,28,20,8
mcts-expansion-apriori,mcts-expansion-gsp,2,10,38,28
mcts-expansion-apriori,mcts-expansion-gsp,2,21,27,6
mcts-expansion-apriori,mcts-expansion-gsp,0,24,24,0
mcts-expansion-apriori,mcts-expansion-gsp,1,26,22,4
mcts-expansion-apriori,mcts-expansion-gsp,1,30,18,12
mcts-expansion-apriori,mcts-expansion-gsp,0,24,24,0
mcts-expansion-apriori,mcts-expansion-gsp,1,41,7,34
mcts-expansion-apriori,mcts-expansion-gsp,1,34,14,20
mcts-expansion-apriori,mcts-expansion-gsp,1,28,20,8
mcts-expansion-apriori,mcts-expansion-gsp,2,22,26,4
mcts-expansion-apriori,mcts-expansion-gsp,0,24,24,0
mcts-expansion-apriori,mcts-expansion-gsp,1,26,22,4
mcts-expansion-apriori,mcts-expansion-gsp,1,30,18,12
mcts-expansion-apriori,mcts-expansion-gsp,0,24,24,0
mcts-expansion-apriori,mcts-expansion-gsp,1,37,11,26
mcts-expansion-apriori,mcts-expansion-gsp,1,31,17,14
mcts-expansion-apriori,mcts-expansion-gsp,2,23,25,2
mcts-expansion-apriori,mcts-expansion-gsp,1,31,17,14
mcts-expansion-apriori,mcts-expansion-gsp,2,23,25,2
mcts-expansion-apriori,mcts-expansion-gsp,2,18,30,12
mcts-expansion-apriori,mcts-expansion-gsp,2,22,26,4
mcts-expansion-apriori,mcts-expansion-gsp,1,34,14,20
mcts-expansion-apriori,mcts-expansion-minimax,1,29,19,10
mcts-expansion-apriori,mcts-expansion-minimax,1,25,23,2
mcts-expansion-apriori,mcts-expansion-minimax,2,15,33,18
mcts-expansion-apriori,mcts-expansion-minimax,2,23,25,2
mcts-expansion-apriori,mcts-expansion-minimax,1,25,23,2
mcts-expansion-apriori,mcts-expansion-minimax,2,14,34,20
mcts-expansion-apriori,mcts-expansion-minimax,1,34,14,20
mcts-expansion-apriori,mcts-expansion-minimax,1,34,14,20
mcts-expansion-apriori,mcts-expansion-minimax,1,40,8,32
mcts-expansion-apriori,mcts-expansion-minimax,1,35,13,22
mcts-expansion-apriori,mcts-expansion-minimax,2,22,26,4
mcts-expansion-apriori,mcts-expansion-minimax,2,23,25,2
